"Id","Data da venda","Preço unitario","Quantidade vencida","Descrição Eletrodoméstico","Nome do Fornecedor","Nome do Vendedor","Cidade","Estado","Nome Gerente","Cargo Gerente","Total de vendas"
1,"2025-08-09",450,3,"Aspirador de pó vertical","Philco","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",1350
2,"2023-04-07",350,11,"Ventilador de coluna","Arno","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",3850
3,"2023-09-25",750,9,"Forno elétrico 35L","Philco","Marcelo Tavares","Santo andré","São Paulo","Fernanda Souza","Financeiro",6750
4,"2025-07-03",2500,6,"Freezer vertical 280L","Brastemp","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",15000
5,"2025-06-24",2000,16,"Ar-condicionado Split 12k","LG","André Carvalho","Caxias do Sul","Paraná","João Batista","Operações",32000
6,"2022-11-07",1200,1,"Cafeteira expresso","Nespresso","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1200
7,"2023-11-11",2500,14,"Lava-louças 10 serviços","Brastemp","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",35000
8,"2025-11-05",2500,7,"Freezer vertical 280L","Brastemp","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",17500
9,"2022-02-08",750,2,"Forno elétrico 35L","Philco","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",1500
10,"2024-09-08",2200,7,"Máquina de Lavar 12kg","Samsung","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",15400
11,"2025-10-11",90,3,"Ferro de passar seco","Britânia","Felipe Moreira","Caxias do Sul","Paraná","João Batista","Operações",270
12,"2024-10-21",200,17,"Ventilador de mesa","Mondial","Patrícia Duarte","Caxias do Sul","Paraná","João Batista","Operações",3400
13,"2022-06-14",3200,8,"Geladeira Frost Free 400L","Electrolux","Gustavo Ribeiro","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",25600
14,"2023-09-30",150,20,"Sanduicheira elétrica","Mondial","Juliana Costa","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",3000
15,"2022-07-07",150,4,"Sanduicheira elétrica","Mondial","Daniela Pires","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",600
16,"2023-11-10",1000,20,"Purificador de água","Consul","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",20000
17,"2025-05-28",2800,3,"Máquina de Lavar 15kg","Brastemp","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",8400
18,"2022-08-24",400,5,"Batedeira Planetária","Philco","Larissa Rocha","Santo andré","São Paulo","Fernanda Souza","Financeiro",2000
19,"2022-07-02",120,15,"Ferro de passar a vapor","Arno","Simone Azevedo","Santo Amaro","Espirito Santo","Mariana Oliveira","Marketing",1800
20,"2023-04-20",650,20,"Micro-ondas 30L","Panasonic","Bruno Almeida","Santo andré","São Paulo","Fernanda Souza","Financeiro",13000
21,"2024-08-03",250,9,"Batedeira simples","Britânia","Ana Martins","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",2250
22,"2025-03-28",2000,16,"Ar-condicionado Split 12k","LG","Eduardo Silva","Majé","Rio de Janeiro","Ricardo Mendes","Logística",32000
23,"2022-05-25",1000,1,"Purificador de água","Consul","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",1000
24,"2022-09-21",650,12,"Micro-ondas 30L","Panasonic","Mariana Teixeira","Majé","Rio de Janeiro","Ricardo Mendes","Logística",7800
25,"2023-12-22",1200,17,"Cafeteira expresso","Nespresso","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",20400
26,"2022-05-23",600,10,"Exaustor de cozinha","Tramontina","Rafael Nogueira","Juiz de fora","Minas Gerais","Carlos Andrade","Comercial",6000
27,"2024-07-14",900,11,"Forno elétrico 45L","Fischer","Bianca Santos","Majé","Rio de Janeiro","Ricardo Mendes","Logística",9900
28,"2025-05-20",250,9,"Secador de cabelo 2000W","Taiff","Tatiane Melo","Caxias do Sul","Paraná","João Batista","Operações",2250
